Rank;Name;Year;Genre;Genre_Enum;Publisher;VG_Global_Sales;IGN_Score;Editors_Choice
2511;SimAnimals;2009;Simulation;11;Electronic Arts;0.85;7.3;N
2512;Swing Away Golf;2000;Sports;2;Electronic Arts;0.52;7.3;N
2513;World of Outlaws: Sprint Cars 2002;2002;Racing;8;Ignition Entertainment;0.48;7.3;N
2514;Major League Baseball 2K6;2006;Sports;2;Spike;1.43;7.3;N
2515;Dawn of Discovery;2009;Simulation;11;Ubisoft;0.72;7.3;N
2516;Wanted: Weapons of Fate;2009;Shooter;7;Warner Bros. Interactive Entertainment;0.67;7.3;N
2517;NeoGeo Battle Coliseum;2005;Fighting;4;Ignition Entertainment;0.33;7.3;N
2518;Mega Man X8;2004;Platform;1;Capcom;0.29;7.3;N
2519;Tigger's Honey Hunt;2000;Platform;1;Ubisoft;0.48;7.3;N
2520;Wild ARMs 5;2006;Role-Playing;3;505 Games;0.28;7.3;N
2521;NHRA Championship Drag Racing;2005;Racing;8;ValuSoft;0.24;7.3;N
2522;Super Swing Golf;2006;Sports;2;Nintendo;0.23;7.3;N
2523;NBA ShootOut 2003;2002;Sports;2;Sony Computer Entertainment;0.23;7.3;N
2524;Rugby 2004;2003;Sports;2;Electronic Arts;0.22;7.3;N
2525;Suikoden Tactics;2005;Strategy;9;Konami Digital Entertainment;0.2;7.3;N
2526;Fairy Fencer F;2013;Role-Playing;3;Nippon Ichi Software;0.2;7.3;N
2527;Forgotten Realms: Demon Stone;2004;Action;5;Atari;0.29;7.3;N
2528;Lips: Party Classics;2010;Misc;12;Microsoft Game Studios;0.18;7.3;N
2529;WordJong Party;2008;Puzzle;10;Destineer;0.18;7.3;N
2530;Tak: Mojo Mistake;2008;Action;5;THQ;0.17;7.3;N
2531;Cake Mania 3;2009;Simulation;11;Majesco Entertainment;0.14;7.3;N
2532;Pirates: The Legend of Black Kat;2002;Adventure;6;Electronic Arts;0.2;7.3;N
2533;Cabela's African Safari;2006;Sports;2;Activision Value;0.19;7.3;N
2534;Vampire Night;2001;Shooter;7;Sony Computer Entertainment;0.14;7.3;N
2535;NightCaster;2002;Action;5;Microsoft Game Studios;0.13;7.3;N
2536;Earthworm Jim 3D;1999;Platform;1;Interplay;0.12;7.3;N
2537;Alias;2004;Action;5;Acclaim Entertainment;0.16;7.3;N
2538;ReCore;2016;Action;5;Microsoft Game Studios;0.1;7.3;N
2539;Raiden Fighters Aces;2008;Shooter;7;Valcon Games;0.09;7.3;N
2540;R-Type Command;2007;Strategy;9;Rising Star Games;0.07;7.3;N
2541;Ultra Bust-A-Move;2004;Puzzle;10;505 Games;0.05;7.3;N
2542;Ontamarama;2007;Action;5;Atlus;0.05;7.3;N
2543;Expendable;1999;Action;5;Infogrames;0.05;7.3;N
2544;OutRun 2006: Coast 2 Coast;2006;Racing;8;Sega;0.09;7.3;N
2545;Spy Fiction;2003;Action;5;Sega;0.04;7.3;N
2546;Bloody Roar Extreme;2003;Fighting;4;Hudson Soft;0.04;7.3;N
2547;Steambot Chronicles;2005;Role-Playing;3;505 Games;0.04;7.3;N
2548;Rhapsody: A Musical Adventure;1998;Role-Playing;3;Nippon Ichi Software;0.1;7.3;N
2549;S.T.A.L.K.E.R.: Clear Sky;2008;Shooter;7;Deep Silver;0.04;7.3;N
2550;Enter the Matrix;2003;Action;5;Atari;4.83;7.2;N
2551;Sonic Heroes;2003;Platform;1;Sega;5.46;7.2;N
2552;My Fitness Coach;2008;Sports;2;Ubisoft;2.34;7.2;N
2553;Cool Boarders 2;1997;Sports;2;UEP Systems;2.25;7.2;N
2554;Assassin's Creed III: Liberation;2012;Action;5;Ubisoft;1.47;7.2;N
2555;Namco Museum DS;2007;Misc;12;Atari;1.35;7.2;N
2556;Destruction Derby 2;1996;Racing;8;Psygnosis;1.17;7.2;N
2557;Guitar Hero Encore: Rocks The 80s;2007;Misc;12;RedOctane;1.11;7.2;N
2558;Tokyo Xtreme Racer 3;2003;Racing;8;Genki;0.91;7.2;N
2559;FIFA Soccer 09 All-Play;2008;Sports;2;Electronic Arts;0.9;7.2;N
2560;Harry Potter: Quidditch World Cup;2003;Sports;2;Electronic Arts;1.88;7.2;N
2561;Harry Potter and the Goblet of Fire;2005;Action;5;Electronic Arts;2.35;7.2;N
2562;Battle of Giants: Dragons;2009;Strategy;9;Ubisoft;0.63;7.2;N
2563;Small Soldiers;1998;Platform;1;Electronic Arts;0.61;7.2;N
2564;Blitz: The League;2004;Sports;2;Midway Games;1.58;7.2;N
2565;Monster Hunter;2004;Role-Playing;3;Capcom;0.5;7.2;N
2566;X-Men: Next Dimension;2002;Fighting;4;Activision;0.71;7.2;N
2567;NFL Head Coach;2006;Sports;2;Electronic Arts;0.57;7.2;N
2568;Okage: Shadow King;2001;Role-Playing;3;Sony Computer Entertainment;0.36;7.2;N
2569;EverGrace;2000;Role-Playing;3;Ubisoft;0.35;7.2;N
2570;Leisure Suit Larry: Magna Cum Laude;2004;Adventure;6;Vivendi Games;0.51;7.2;N
2571;NCAA GameBreaker 2001;2000;Sports;2;Sony Computer Entertainment;0.48;7.2;N
2572;Outlaw Golf;2002;Sports;2;TDK Mediactive;0.37;7.2;N
2573;Fable: The Journey;2012;Role-Playing;3;Microsoft Game Studios;0.29;7.2;N
2574;Driver: Parallel Lines;2006;Racing;8;Atari;0.38;7.2;N
2575;Nostalgia;2008;Role-Playing;3;Tecmo Koei;0.19;7.2;N
2576;Naruto: Ninja Destiny;2006;Fighting;4;Namco Bandai Games;0.19;7.2;N
2577;Ener-G: Dance Squad;2008;Sports;2;Ubisoft;0.16;7.2;N
2578;Buck Bumble;1998;Action;5;Ubisoft;0.16;7.2;N
2579;Enthusia Professional Racing;2005;Racing;8;Konami Digital Entertainment;0.15;7.2;N
2580;Metal Slug Anthology;2006;Shooter;7;Ignition Entertainment;0.21;7.2;N
2581;Enclave;2002;Adventure;6;Swing! Entertainment;0.14;7.2;N
2582;Chicken Run;2000;Adventure;6;Eidos Interactive;0.13;7.2;N
2583;Smart Boy's Gameroom;2007;Misc;12;505 Games;0.13;7.2;N
2584;Peter Jacobsen's Golden Tee Golf;2000;Sports;2;Infogrames;0.12;7.2;N
2585;Tropico 5;2014;Simulation;11;Kalypso Media;0.49;7.2;N
2586;Little League World Series Baseball 2008;2008;Sports;2;Activision;0.16;7.2;N
2587;Guilty Gear Isuka;2004;Fighting;4;505 Games;0.1;7.2;N
2588;Wizardry: Tale of the Forsaken Land;2001;Role-Playing;3;Ubisoft;0.09;7.2;N
2589;RedCard 20-03;2002;Sports;2;Midway Games;0.12;7.2;N
2590;Gallop Racer 2004;2004;Sports;2;Zoo Digital Publishing;0.06;7.2;N
2591;CMT Presents: Karaoke Revolution Country;2006;Misc;12;Konami Digital Entertainment;0.06;7.2;N
2592;Samurai Champloo: Sidetracked;2006;Action;5;Namco Bandai Games;0.05;7.2;N
2593;Tail Concerto;1998;Adventure;6;Namco Bandai Games;0.03;7.2;N
2594;Pro Fishing Challenge;2004;Sports;2;Atlus;0.02;7.2;N
2595;Barnyard Blast: Swine of the Night;2008;Platform;1;Big Ben Interactive;0.02;7.2;N
2596;Pokemon Ranger;2006;Role-Playing;3;Nintendo;2.18;7.1;N
